material_id,material_name,strength,weight_capacity,cost,biodegradability_score,co2_score,recyclability_percentage
1,Thin Paper,1,2.00,2,10,1,100
2,Starch Film,1,3.00,2,10,1,90
3,Light Foam,1,2.50,3,9,2,80
4,Tissue Paper,1,1.50,2,10,1,95
5,Corn Peanuts,1,2.00,3,10,2,10
6,Leaf Wrap,1,3.00,2,10,1,100
7,Seaweed Film,1,3.00,3,10,1,100
8,Recycled Newsprint,1,4.00,2,8,3,90
9,Hay Pressed,1,5.00,3,9,2,80
10,Thin Bio-Bag,1,3.50,3,9,2,60
11,Potato Starch,1,2.80,2,10,1,100
12,Mushroom Light,1,3.20,3,10,2,100
13,Rice Paper,1,1.80,2,9,2,90
14,Grass Paper,1,3.50,3,8,3,85
15,Cotton Waste,1,4.00,3,7,3,70
16,Cardboard,2,10.00,5,7,4,85
17,Kraft Box,2,12.00,4,8,3,90
18,Molded Pulp,2,14.00,5,9,2,100
19,Sugarcane Tray,2,13.00,5,9,2,100
20,Bamboo Paper,2,15.00,6,8,3,80
21,Recycled Carton,2,11.00,4,7,4,85
22,Pineapple Fiber,2,12.50,6,8,3,75
23,Jute Composite,2,14.50,5,9,2,95
24,Areca Plate,2,9.00,4,10,1,100
25,Palm Leaf,2,8.00,5,10,2,100
26,Stone Paper,2,12.00,6,4,6,40
27,Cork Sheet,2,10.00,6,9,2,100
28,Waxed Cardboard,2,11.00,4,6,5,50
29,Textile Felt,2,13.00,5,5,5,60
30,Bagasse Bowl,2,10.00,5,9,2,90
31,Heavy Corrugated,3,25.00,7,6,5,80
32,PLA Hard Shell,3,18.00,8,5,6,60
33,Recycled PET,3,30.00,7,2,8,95
34,Glass Jar,3,50.00,9,1,9,100
35,Aluminum Can,3,40.00,8,1,9,98
36,HDPE Crate,3,35.00,7,1,8,90
37,Wood Crate,3,60.00,9,6,4,50
38,Bamboo Hard,3,28.00,8,7,3,70
39,Hemp Board,3,32.00,7,8,2,75
40,Steel Tin,3,45.00,8,1,9,99
41,Thick Plastic,3,28.00,7,1,8,85
42,Engineered Wood,3,55.00,8,5,5,40
43,Hard Bioplastic,3,20.00,9,5,5,55
44,Recycled PP,3,30.00,7,1,8,80
45,Metal Drum,3,65.00,9,1,9,95
